BillNo,Itemname,Quantity,Date,Price,CustomerID,Country
536365,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850.0,United Kingdom
536366,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850.0,United Kingdom
536367,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047.0,United Kingdom
536368,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,4.25,13047.0,United Kingdom
536369,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00,5.95,13047.0,United Kingdom
536370,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00,3.75,12583.0,France
536371,PAPER CHAIN KIT 50'S CHRISTMAS,80,2010-12-01 09:00:00,2.55,13748.0,United Kingdom
536372,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00,1.85,17850.0,United Kingdom
536373,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00,2.55,17850.0,United Kingdom
536374,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,10.95,15100.0,United Kingdom
536375,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,2.55,17850.0,United Kingdom
536376,HOT WATER BOTTLE TEA AND SYMPATHY,48,2010-12-01 09:32:00,3.45,15291.0,United Kingdom
536377,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00,1.85,17850.0,United Kingdom
536378,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,1.95,14688.0,United Kingdom
536380,JAM MAKING SET PRINTED,24,2010-12-01 09:41:00,1.45,17809.0,United Kingdom
536381,RETROSPOT TEA SET CERAMIC 11 PC,23,2010-12-01 09:41:00,4.25,15311.0,United Kingdom
536382,INFLATABLE POLITICAL GLOBE,12,2010-12-01 09:45:00,0.85,16098.0,United Kingdom
536384,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-12-01 09:53:00,6.45,18074.0,United Kingdom
536385,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-01 09:56:00,19.95,17420.0,United Kingdom
536386,WHITE WIRE EGG HOLDER,36,2010-12-01 09:57:00,4.95,16029.0,United Kingdom
536387,CHILLI LIGHTS,192,2010-12-01 09:58:00,3.82,16029.0,United Kingdom
536388,HOME BUILDING BLOCK WORD,3,2010-12-01 09:59:00,5.95,16250.0,United Kingdom
536389,CHRISTMAS LIGHTS 10 REINDEER,6,2010-12-01 10:03:00,8.5,12431.0,Australia
536390,CHRISTMAS LIGHTS 10 REINDEER,2,2010-12-01 10:19:00,8.5,17511.0,United Kingdom
536392,3 STRIPEY MICE FELTCRAFT,6,2010-12-01 10:29:00,1.95,13705.0,United Kingdom
536393,RETROSPOT LAMP,8,2010-12-01 10:37:00,9.95,13747.0,United Kingdom
536394,"FANCY FONT BIRTHDAY CARD,",24,2010-12-01 10:39:00,0.42,13408.0,United Kingdom
536395,BLACK HEART CARD HOLDER,8,2010-12-01 10:47:00,3.95,13767.0,United Kingdom
536396,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 10:51:00,2.55,17850.0,United Kingdom
536397,SET OF 3 BLACK FLYING DUCKS,12,2010-12-01 10:51:00,4.65,17924.0,United Kingdom
536398,PACK OF 12 RED RETROSPOT TISSUES,24,2010-12-01 10:52:00,0.29,13448.0,United Kingdom
536399,HAND WARMER RED POLKA DOT,6,2010-12-01 10:52:00,1.85,17850.0,United Kingdom
536400,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 10:53:00,1.45,13448.0,United Kingdom
536401,BIRD HOUSE HOT WATER BOTTLE,1,2010-12-01 11:21:00,2.55,15862.0,United Kingdom
536402,PAPER CHAIN KIT 50'S CHRISTMAS,40,2010-12-01 11:22:00,2.55,15513.0,United Kingdom
536403,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,1.85,12791.0,Netherlands
536404,HEART IVORY TRELLIS SMALL,24,2010-12-01 11:29:00,1.25,16218.0,United Kingdom
536405,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2010-12-01 11:32:00,2.55,14045.0,United Kingdom
536406,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 11:33:00,2.55,17850.0,United Kingdom
536407,HAND WARMER RED POLKA DOT,6,2010-12-01 11:34:00,1.85,17850.0,United Kingdom
536408,MAGIC DRAWING SLATE DINOSAUR,24,2010-12-01 11:41:00,0.42,14307.0,United Kingdom
536409,5 STRAND GLASS NECKLACE CRYSTAL,3,2010-12-01 11:45:00,6.35,17908.0,United Kingdom
536412,LUNCH BAG CARS BLUE,3,2010-12-01 11:49:00,1.65,17920.0,United Kingdom
536414,,56,2010-12-01 11:52:00,0.0,,United Kingdom
536415,60 CAKE CASES VINTAGE CHRISTMAS,10,2010-12-01 11:57:00,0.55,12838.0,United Kingdom
536416,ROTATING LEAVES T-LIGHT HOLDER,12,2010-12-01 11:58:00,1.25,13255.0,United Kingdom
536420,WOODEN BOX OF DOMINOES,12,2010-12-01 12:03:00,1.25,16583.0,United Kingdom
536423,SET OF 6 SOLDIER SKITTLES,4,2010-12-01 12:08:00,3.75,18085.0,United Kingdom
536425,HOT WATER BOTTLE BABUSHKA,8,2010-12-01 12:08:00,4.65,13758.0,United Kingdom
536437,RED RETROSPOT OVEN GLOVE,200,2010-12-01 12:12:00,1.06,13694.0,United Kingdom
536446,HYACINTH BULB T-LIGHT CANDLES,32,2010-12-01 12:15:00,0.42,15983.0,United Kingdom
536460,FRENCH WC SIGN BLUE METAL,12,2010-12-01 12:22:00,1.25,14849.0,United Kingdom
536463,WASHROOM METAL SIGN,12,2010-12-01 12:22:00,1.45,14849.0,United Kingdom
536464,BLACK SWEETHEART BRACELET,2,2010-12-01 12:23:00,4.25,17968.0,United Kingdom
536466,JAM MAKING SET WITH JARS,6,2010-12-01 12:23:00,4.25,14849.0,United Kingdom
536477,SMALL GLASS HEART TRINKET POT,48,2010-12-01 12:27:00,1.85,16210.0,United Kingdom
536488,RIBBON REEL SNOWY VILLAGE,5,2010-12-01 12:31:00,1.65,17897.0,United Kingdom
536500,VINTAGE UNION JACK CUSHION COVER,10,2010-12-01 12:35:00,4.95,17377.0,United Kingdom
536502,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 12:36:00,1.69,16552.0,United Kingdom
536508,ANTIQUE SILVER TEA GLASS ENGRAVED,72,2010-12-01 12:38:00,1.06,17181.0,United Kingdom
536514,HAND WARMER OWL DESIGN,36,2010-12-01 12:40:00,2.1,17951.0,United Kingdom
536520,CLASSIC FRENCH STYLE BASKET NATURAL,1,2010-12-01 12:43:00,6.75,14729.0,United Kingdom
536521,CREAM SWEETHEART EGG HOLDER,1,2010-12-01 12:48:00,4.95,12748.0,United Kingdom
536522,PINK 3 PIECE POLKADOT CUTLERY SET,1,2010-12-01 12:49:00,3.75,15012.0,United Kingdom
536523,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,2010-12-01 12:50:00,4.95,12868.0,United Kingdom
536524,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2010-12-01 12:51:00,2.95,17572.0,United Kingdom
536525,EIGHT PIECE DINOSAUR SET,2,2010-12-01 12:54:00,1.25,14078.0,United Kingdom
536526,VICTORIAN  METAL POSTCARD SPRING,16,2010-12-01 12:58:00,1.69,14001.0,United Kingdom
536527,SET OF 6 T-LIGHTS SANTA,6,2010-12-01 13:04:00,2.95,12662.0,Germany
536528,CARD PSYCHEDELIC APPLES,12,2010-12-01 13:17:00,0.42,15525.0,United Kingdom
536529,CAKE PLATE LOVEBIRD WHITE,3,2010-12-01 13:20:00,4.95,14237.0,United Kingdom
536530,GLASS JAR ENGLISH CONFECTIONERY,2,2010-12-01 13:21:00,2.95,17905.0,United Kingdom
536531,GIN & TONIC DIET GREETING CARD,24,2010-12-01 13:23:00,0.42,15485.0,United Kingdom
536532,BOX OF 24 COCKTAIL PARASOLS,50,2010-12-01 13:24:00,0.42,12433.0,Norway
536533,RETROSPOT RED WASHING UP GLOVES,6,2010-12-01 13:31:00,2.1,16955.0,United Kingdom
536534,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-01 13:33:00,2.1,15350.0,United Kingdom
536535,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2010-12-01 13:38:00,4.95,15605.0,United Kingdom
536536,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-01 13:45:00,4.95,18144.0,United Kingdom
536537,COSMETIC BAG VINTAGE ROSE PAISLEY,36,2010-12-01 13:51:00,2.1,15922.0,United Kingdom
536538,RED FLOWER CROCHET FOOD COVER,1,2010-12-01 13:54:00,3.75,14594.0,United Kingdom
536539,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 14:03:00,1.45,15165.0,United Kingdom
536542,LUNCH BAG SPACEBOY DESIGN,10,2010-12-01 14:11:00,1.65,16456.0,United Kingdom
